Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Which of these is the correct definition of a stable sorting algorithm?
", ,"A sorting algorithm that takes into account the initial order of a list and maintains the order of equal-valued elements.
", , , ,,"skybeak (cb2027 - permission to this course revoked)
"
"What is the complexity of the following code?int f( int n, int m) { int count = 0; for (int i = n; i > 0; i--) { for (int j = 0; j < m; j = j + 2) { count++; } } return count;}
", , ,"?(n*m)
", , ,"This function contains a nested loop where the operation in the inner loop runs approximately m/2 times giving us ?(m) for each iteration.This is iterated n times and so the complexity of the function as a whole is ?(n*m)
",
"Which sorting algorithm would have the following intermediate steps while sorting ?
","Selection Sort
", , , , ,,"hpa22 (hpa22 - permission to this course revoked)
"
"Which of these formulas will provide theload factor of a hash table?
", , , ,"
", ,"As shown in lecture 9, the formula produces the load factor of a hash table.
",
"What technique can avoid collision?
", , , , ," All of the above
","A random hash function random may not be the best choice but it does help avoid collisions along with uniform hashing (giving every element equal chance to hash into any of the slots available in the array) as well as linear probing and using an open Hash Table
",
"What are the two common types of graph traversal?
", ,"Depth-first and breadth-first
", , , ,,"dm893 (dm893 - permission to this course revoked)
"
"Which of these sorting algorithms has theworst space efficiency?
", ,"Mergesort
", , , ,"Quicksort has O(log n) space complexity. All of the others have O(1) complexity, with the exception of mergesort, which has a complexity of O(n).
",
"What are the complexity of linear search algorithm, binary search algorithm and merge sort algorithm respectively?
","O(n), O(logn), O(nlogn)
", , , , ,,"novae (yl2893 - permission to this course revoked)
"
"What is transitivity? In terms of time complexity.
", , ,"If f(n) = O(g(n)) & g(n) = O(h(n)) then f(n) = O(h(n))
", , ,"Lecture 4 - Complexity 2, slide 7.
",
"Which of these statements istrue? An adjacency matrix is...
", , , , ," None of the above
","A - False: It can be used to represent undirected graphs by making both arr[x][y] and arr[y][x] equal.B - False: This is only the case when representing undirected graphs.C - False: See lecture 17 for details.
",
"In which order will mergesort perform the WORST?
", , , , ," None of the above.
","Mergesort efficiency is not changed by ordering of the data.
",
"Depth First Search is equivalent to which of the traversal in the Binary Trees?
", ,"Pre-order Traversal
", , , ,"Depth First Search explores all the nodes aggressively to one path and then backtrack to the node. This is equivalent to the pre-order traversal of a Binary Tree.
",
"What is the average runtime complexity of an Array list's add operation? (if resize doubles array size)
","1
", , , , ,"Over many adds() only about as many copys() as adds() writes
",
"Which of the following is NOT an advantage of using open hash table over closed hash table.
", , ,"Open hash table uses less memory.
", , ,"Closed hash table uses less memory since its a fixed size.
",
"Which binary search tree is correct in the figure?
", ,"B
", , , ,,"novae (yl2893 - permission to this course revoked)
"
"What is the tree equivalent of a linked-list 'head' pointer?
", , , ,"A root node.
", ,"Since a tree is a linked list based data structure it carries over some similarities. However, in a linked list we have the head pointer but in a tree we have a root pointer.Both these pointers point to the first node of each data structure.
",
"What operation has the lowest average runtime complexity in a singly linked list.
", ,"add(o)
", , , ,"add(o) has constant runtime complexity O(1), while others have linear O(n).
",
"The following code is for an insertion sort. Select from the options below, the line of code which should replace Xpublic static void insertionSort(int[] array) { int[] a = array; int n = a.length; for (int i=1; i<n; ++i){ int key = a[i]; int j = i-1; while (j>=0 && a[j].compareTo(key) > 0){ a[j+1] = a[j]; j = j-1; } X }}
", , ,"a[j+1] = key;
", , ,"After you have compared all the elements to the key and moved them around, you must then re add the key to your array.
",
"Which one correctly describes the complexity of the following code fragment?for (int i = 1; i < n; i = i * 2){ for(int j = n; j > 0; j--) { System.out.print(""hello world""); }}for (double i = n; i > 1; i = i / 2){ System.out.print(""goodbye world"");}
", , ,"
", , ,"When for loops are nested as in the first two we multiply the complexities. As the first one doubles each time it has log n order. The second one works from n to 1 linearly so that gives n. Thus we have n log n. The final for loop has log n complexity but we take the worst case so that gives O(n log n).
",
"A post order traversal of the tree; [a] / \ [b] [c]
", , ,"b c a
", , ,"Post order traversal prints the node after printing the left and right subtrees, hence post order
",
"Which of the following statements about doubly-linked lists is true?
", , , ,"The previous pointer for the ""head"" node and the next pointer for the ""tail"" node have the same value.
", ,"The values of the previous pointer for the ""head"" node and the next pointer for the ""tail"" node are both NULL, and thus equal.
",
"Which of the following are NOT advantages of using a Heap data-structure in Java?
", , ,"Heap comparisons are very fast
", , ,,"ab2339 (ab2339 - permission to this course revoked)
"
"Which of the following statements about array lists and arrays in java are false1.Array lists can be resized whereas arrays can't.2.Array lists can have gaps in the list whereas a standard array cannot.3. A linear search in an array list is slower than in an array (where both have the same elements).4. An array can be of a primitive data type whereas an array list can be of a primitive or non-primitive data type.5. Array lists are always single dimensional however arrays can also be multi-dimensional.
", , ,"2 and 4
", , ,"1. True: an array is a set space in memory so it cannot be resized, however an array list uses pointers to the next value so can be resized by re-directing the pointers.2. False: array lists can have gaps in memory (so not a linear block of memory) but not in the list as each element must have a pointer to the next element.3. True: in an array the value is checked then the next value in memory is looked at, however in a linked list the pointer for the next value must also be looked at each time.4 False: an array list cannot be of a primitive data types such as int or char. Wrapper classes must be used.5. True: An can be both whereas array lists are only ever single dimensional (Note: a common work around of this is to make an array list of lists).
",
"Why, in general, is Radix sort less popular than Quicksort for integer sorting?
", , ,"Quicksort is more flexible (thus a preference for most situations), Radix sort requires more memory.
", , ,,"jjb72 (jjb72 - permission to this course revoked)
"
"What is the correct formula for the load factor of a hash table?
", , ,"L = max number of keys to insert / total buckets in the array
", , ,"The “load” of a hash table is the maximum number of values (“keys”) you intend to add divided by numberof buckets in the array.A load of L=.3 means your array has 30X more buckets than you need (you’ll only fill 30% of the buckets).
",
"Which of the following sorting algorithms has the best/ quickest WORST CASE time complexity?
", , , ,"Merge Sort
", ,"Quick sort - O(n^2)Bubble sort -O(n^2)Insertion sort - O(n^2)Merge Sort - O(n log(n))Selection Sort-O(n^2)This is because Merge Sort is a divide and conquer approach. It has a set number of steps for n which always gives O(n log(n)) for best, average and worst case. Although Quick Sort is also a divide and conquer approach, it's worst case time complexity is O(n^2) like the rest.
",
"Which of the following sorting algorithms is stable?
", , ,"Insertion Sort
", , ,"Insertion sort is stable - it takes into account the initial order of the objects to be sorted.
",
"Which of the following statements about basic trees is false?
", ,"The top node of a tree is called the ""leaf"" node.
", , , ,"The top node of a tree is called a ""root"" node - a ""leaf"" node refers to a node with 0 children.
",
"I am tasked with programming a sorting algorithm with large data-sets on a powerful computer. This is an important part of my company's time-critical, safety application. I'm told that completing the sorting very quickly- in all possible cases - is the biggest priority. What's the appropriate choice of algorithm?
", ,"Merge Sort
", , , ,"Merge Sort has O(nlogn)worst case scenario run time, it's only drawback is space inefficiency, which isi not a factor in this case.While Quick Sort - if well implemented - is normally superior, it's worst case is polynomial runtime -O(n^2) -which is undesirable in a time-critical task given large data sets.It is well known thatHeap Sortis usually outperformed in real world/ industry, with its advantage lying in its superior memory efficiency.
",
"In this question we'll consider the Abstract Data Type: Heaps.If the data for a node in a heap is stored in position i in an array, what positions will its children be stored in?
", ,"Left Child: Right Child:
", , , ,"Let's consider the example i = 0. Its children are in position 1 & 2 & we can deduce that 2i+1 = 2(0)+1 = 1 & 2i+2 = 2(0)+2 = 2. This doesn't rule out option C so we'll also consider the example i = 3. Its children are in position 7 & 8 & deduce that2i+1 = 2(3)+1 = 7 & 2i+2 = 2(3)+2 = 8. Therefore the answer is B. Refer to lecture 16 - Trees 4 if you are still unsure of the reasoning.
",
"Sort the algorithm complexities from fastest to slowest when n = 100.1. 1502. 50n3. 5n^24. log(3000n)5. 6nlog(400n)
","4, 1, 5, 2, 3
", , , , ,"1. 1502. 50(100) = 50003. 5(100)^2 = 500004. log(3000(100)) = 5.477...5. 6(100)log(400(600)) = 2761.2...
",
"What is the average runtime complexity of a binary tree search?
", , ,"O(log n)
", , ,"Lecture 2 in the notes.
",
"Consider functions g(n) and f(n) with g(n) >0 and f(n) >0 for n>0.Which of the following is the correct definition for the exact bound?
", , ,"g(n) = ?(f(n)) (""g(n) is Big-Theta of f(n)"")iff there are two positive constants c1 and c2 and a n0>0 so that for all n>n0: g(n) = c1f(n) and g(n) = c2f(n)
", , ,"These definitions are provided in lecture 4.
",
"Which of the following statement is true?
", , , , ," None of the above.
","A. (Lecture 14/16) This is the definition of“perfectly balanced”. Thecomplete binary tree is not only that the top N-1 levels of the tree are completely filled with nodes, but also itsnodes on the bottom-most level must be as far left as possible.B.(Lecture 16)The value contained by a node (expect the top node) is ALWAYS <= the values of the node’s parents.C.(Lecture 16) (https://www.youtube.com/watch?v=ZZuD6iUe3Pc) This is best case of the insertion sort, which is O(n), compared with theO(n log(n)) in the heapsort algorithm.D. (Lecture 16)Wasting a lot of time on the inserting node (O(n log(n)), not efficiently), we canconvert the array into a maxheap by O(n).
",
"You plan to store data in a closed hash table with linear probing to the right. The hash function you are using is h(x) = x % 7, meaning there are 7 slots in your hash table; 0,1,2,3,4,5,6. Inserting the elements 22, 8, 5, 26, 4, 13, 9 in that order, what would be the end result?
", , ,"13, 22, 8, 9, 4, 5, 26
", , ,"22mod7=1 so goes in slot 1, 8mod7=1, since slot 1 is occupied, it goes in the next free slot to the right, slot 2. 5 goes in slot 5, 26mod7=5 so goes in slot 6 as is next available, 4 goes in slot 4, 13mod7=6. Since slot 6 is occupied, we wrap around back to slot 0, and finally 9mod7=2, but since there is only one remaining space, 9 ends up in slot 3, giving us13, 22, 8, 9, 4, 5, 26.
",
"Which of these algorithms have the fastest best case?(assume all elements are distinct)
", , , ,"Insertion sort
", ,"Heap sort is O(nlogn) (if not all keys are distinct then it can be O(n))Mergesort is O(nlogn)Selection sort is O(n^2)Insertion sort is O(n)Shell sort is O(nlogn)
",
"What does Amortised mean?
", , ,"Average Case
", , ,,"cardak (kc662 - permission to this course revoked)
"
"What is the best a comparison sort algorithm can perform in the average or worst case?
", , , ,"O(nlogn)
", ,"WLOG WMA that a given permutation has n distinct elements (as this is worst case scenario). There are therefore exactly n! permutations.Now suppose a sorting algorithm always finishes sorting n elements in S(n) steps. As a sorting algorithm can only work out the order of the elements it is sorting by comparisons and as comparisons can only have one of two outcomes, it can't distinguish most than 2^(S(n)) cases.This means 2^(S(n)) >= n! => S(n) >= log(n!) => S(n) >= (n/2)* log(n) => S(n) = O(nlogn)
",
"Which of the following was advice given in a lecture?
","When it comes to time complexity, if n is small you shouldn't worry about complexity and just pick the easiest algorithm to program.
", , , , ,,"cardak (kc662 - permission to this course revoked)
"
"Which type of tree transversal will first process the nodes in the left subtree, then the right subtree and finally the current node?
", ,"Post-order
", , , ,"Pre-order is node->left->right.In-order is left->node->right.Level-order is top node->next level nodes->next level nodes->etc.Dis-order is just bad.
",
"Consider the following statements about lists and choose the statement that is FALSE.
", , ,"For a Linked list the average case to access an element is?(i)
", , ,"For a Linked list the average case to access i is ?(n)
",
"Consider an algorithm that takes 8s for n=50, 14s for n=100 and 20s for n=200. What asymptotic complexity does it likely have.
", ,"?(log n)
", , , ,,"steemboat (dh658 - permission to this course revoked)
"
"Becky has a set of names stored in a reverse alphabetical list {""Zach"", ""Tom"", ""Isaac"", ""Freya "",""Becky"", ""Anna"", ""Adam""}. Which search algorithm should she implement if searching for the word ""Zach""?
", ,"linear search
", , , ,,"rm2074 (rm2074 - permission to this course revoked)
"
"Which of the following is the most efficient time complexity, for a large number of items?
", , , ,"O(1)
", ,"A constant time complexity is most efficient, as it stays the same no matter the number of items, so as the number of items increases, this number will always be overtaken by an algorithm of higher complexity.
",
"Which of the three following data structures have the shortest average run time for finding an ith element.
", ,"hash table
", , , ,,"ji307 (ji307 - permission to this course revoked)
"
"You are going to add an array of numbers to an empty binary tree. It is worse in terms of search time if the input array is:
", ,"Already sorted
", , , ,,"bgj22 (bgj22 - permission to this course revoked)
"
"What is the average search time for a binary search tree?
", , ,"?(log n)
", , ,,"nlc29 (nlc29 - permission to this course revoked)
"
"Which of these functions is the upper bound function?
","O(f(n))
", , , , ,,"nlc29 (nlc29 - permission to this course revoked)
"
"Which of the following statements about hash tables are false?
", , ,"None of the above
", , ,,"nlc29 (nlc29 - permission to this course revoked)
"
"___0 |10 |1 | 8 |2 | 11|3 | 7 |4 | 4 |5 | 9 |6 | 5 |Given the heap array above, what isleft Child of 11 (element at index 2) ?parent of 4 (element at index 4) ?last element in heap?
","left Child of 11 = 9 (index 5)parent of 4 = 8 (index 1)last element in heap = 5(index 6)
", , , , ,,"iid21 (iid21 - permission to this course revoked)
"
"Given an algorithm with a time complexity of the format a^(b*n) where a and b are constants, how long would it take to run the algorithm when n = 15?Use the information below to find a and b and hence answer the question. n time 3 3s 6 9s18 729s
", ,"243 seconds
", , , ,"a = 3 and b = 1/3 so 3^(15/3) = 243
",
"You are given a list of names that is initially sorted in alphabetical order by their first names. However you now want to change it to be sorted by their last names, and if they are the same then order them by their first names as initially sorted. To achieve this in the quickest way in general, which of the sorting algorithms would be best to use?
", ,"Merge sort
", , , ,"To sort the list in this way, you would need to implement a stable sort algorithm to take into consideration the initial ordering. This means that we may rule out Heap, Shell and Quick sort, as all of these are unstable algorithms for sorting.Now because we want to do this in as fast a way as possible, we want to consider the general runtime of Insertion and Merge. The insertion sort algorithm is O(n^2) in the general case, and the Merge sort algorithm is O(nlogn) in the general case, hence the best algorithm to use in this case is would be Merge.
",
"Which of the following sorting algorithms are STABLE
", ,"Insertion Sort
", , , ,"A stable algorithm is onewhich doesn't change the relative position of same/equal elements.Insertion sort is stable because it maintains the relative order of elements as they occur in the input unlike all the other sorting algorithms above.
",
"What are the definitions of the ""root"" of a tree, the ""child"" of a node and a ""leaf"" node?
", , ,"Root: The top node of the treeChild: Any node pointed to by the current nodeLeaf: A node with 0 children
", , ,"C - see lecture notes: Lecture 13 - Trees 1
",
"Which array can use binary search to find a data?
", , , ,"A and B
", ,"To use binary search algorithm, a list of data must be sorted into descending or ascending numeric or alphabetic order
",
"What is theCounting Elementary Operations T(n) of the following code?public int totalSum(int[ ] a) { int sum = 0; for (int i=0; i<a.length; i++) { sum=sum + a[i]; } return sum}(a.length = n)T(n)=? ops
", , , ,"4n+4 ops
", ,"int sum = 0 (Variable assignment:1 op)int i = 0 (Variable assignment:1 op)i<a.length (Comparison: 1 op times a.length+1 = n+1 ops)i++ (Addition: 1 op times a.length = n ops)sum = (Variable assignment: 1 times a.length = n ops)sum + a[i] (Addition: 1 times a.length = n ops)return sum (Returning a value: 1 op)T(n) = 1 + 1+ n+1 + n + n + n + 1 = 4n + 4 ops
",
"The code below can be used to carry out which type of sorting algorithm?void algorithmName(int a[], int n){ for (int i = 0; i < n; i++) { int minIndex = i; for (int j = i+1; j < n; j++) { if (a[j] < a[minIndex]) minIndex = j; } swap(a, i, minIndex); }}
", ,"Selection Sort
", , , ,"This code is provided in lecture 10.
",
"What is ?
", ,"The lower bound time complexity
", , , ,,"hmg33 (hmg33 - permission to this course revoked)
"
"Misha has an open Hashtable containing 4 buckets. He hashes a word by:Hashcode = Length of word + index in alphabet of the first letterFor example, ""animal"" = 6 + 1 = 7Or ""boat"" = 4 + 2 = 6The bucket is determined by hashcode % the number of buckets.E.g. ""animal"" would be placed in the bucket with index 3If Misha adds the words:""i"", ""play"", ""pokemon go"", ""everyday""What words are in each of the buckets in the hash table?
","0. ""play""1. ""pokemon go"", ""everyday""2. ""i""3. -
", , , , ,"The hash of 'i' = 10 => bucket index 2The hash of 'play' = 20 => bucket index 0The hash of 'pokemongo' = 25 => bucket index 1The hash of 'everyday' = 13 => bucket index 1
",
"Which of these complexities is the fastest?
", ,"?(n^1/2)
", , , ,,"wafflelily (gap29 - permission to this course revoked)
"
"Which of these searches is the fastest (assuming the list it's searching is presorted and uniformly distributed)?
", , ,"Interpolation Search
", , ,"Time Complexities (in descending order):1st - Interpolation at O(log(log(n)))Joint 2nd - Exponential and Binary at O(log(n))3rd - Jump at O()4th - Linear at O(n)Thus, Interpolation Search is the fastest.
",
"State from the following list of sorts, all the sorts which are stable.- Selection- Insertion- Bubble- Merge- Heap
", ,"Insertion, Bubble, Merge
", , , ,"Insertion, Bubble and Merge Sort are all stable, whereas Selection and Heap Sort are not.
",
"What is the time complexity of the code below?:int 2bAlgo(int n) { Random random = new Random(); int total = 0; int[] b = new int[n]; for(int i = 0; i < n; i++) { b[i] = random.nextInt(n); } int j = 0; for(int i = 0; i < 200; i++) { j = n; while(j > 0) { total += j; j = j / 2; } } return total + b[j];}
","O(n)
", , , , ,"The first loop is O(n), but the second loop consists of a fixed number of iterations, so no matter the complexity of the inner loop, O(n) > O(1) so is O(n).The use of random numbers is considered as constant time
",
"When implementing radix sort, which of the following algorithms would be best to use?
", ,"Insertion sort
", , , ,"Radix sort requires a stable sorting algorithm to work.For example the array [10, 13, 05] would become [05, 13, 10] after comparing the first digit using selection sort
","rl836 (rl836 - permission to this course revoked)
"
"When implementing radix sort, which of the following algorithms would be best to use?
", ,"Insertion sort
", , , ,"Radix sort requires a stable sorting algorithm to work.For example the array [10, 13, 05] would become [05, 13, 10] after comparing the first digit using selection sort
","rl836 (rl836 - permission to this course revoked)
"
"What is the time complexity of this function?public void func(int n){for (int i=1;i<n;i++) {System.out.println(n);}for (int k=1;k<n;k++) {System.out.println(n);}}
", ,"O(n)
", , , ,"Complexity notes from the lectures.
",
"If the load factor of a closed hash table is 0.7, which of the following is false?
", , ,"In the worst case it takes < 3 steps to find a bucket via linear probing.
", , ,"For load factor L, in the worst cast linear probing takes 1/(1-L) steps.Here for L = 0.7 this value is 10/3 which is approximately 3.33C is thus false.The remaining options are true.
",
"What is this array after 2 iterations of Bubble Sort?[""John"",""Bill"",""Elon"",""Mark"",""Amy"",""Curtis""]
", ,"[""Bill"", ""Elon"", ""Amy"", ""Curtis"", ""John"", ""Mark""]
", , , ,"Emulate 2 iterations of Bubble Sort to find the correct answer.
",
"Which of the following properties does this tree have?1) Binary2) Balanced3) Complete4) Maxheap
","1, 2
", , , , ,"1) Yes - Each node has at most 2 children2) Yes - Each node’s children have heights that differ by at most 13) No - The bottom layer of nodes is not full starting from the left4) No - The tree is not complete
","rl836 (rl836 - permission to this course revoked)
"
"Which of the following properties does this tree have?1) Binary2) Balanced3) Complete4) Maxheap
","1, 2
", , , , ,"1) Yes - Each node has at most 2 children2) Yes - Each node’s children have heights that differ by at most 13) No - The bottom layer of nodes is not full starting from the left4) No - The tree is not complete
","rl836 (rl836 - permission to this course revoked)
"
"Imagine you're working at company that deals with stocks and your team's current project is develop a page on a website that lists companies on the stock market and allows you to monitor them in real time.A feature of this page is that you can sort the companies in a number of ways (e.g. growth in the last day, total net worth, etc.). As these details are changing in real time, the list will also needed to be re-sorted in real-time too.Your team leader has told you that:1. Consistent speed is the top priority. Every second counts in the stock market and any lag will result in complaints.2. The sort should be stable. It will cause confusion if companies with the same value were to swap seemingly randomly.3. Memory is not an issue. The company is prepared to give you as much space as you need for the sort as long as its effective.Which sort is the most appropriate for this situation?
", , , ,"Merge Sort
", ,"The answer is DA - Insertion Sort: Even though it is a stable sort, the average time complexity of this sort is O(n^2). There are quicker sorts available.B - Quick Sort: There are two problems with this sort. Firstly it isn't a consistent sort. It's average time complexity is O(nlog(n)) but it's worse case is O(n^2), meaning it could cause lag. Secondly, it isn't always stable so it doesn't fulfil condition 2.C - Bubble Sort: While easy to implement, it has the same issue as A in the it's average time complexity of O(n^2) and there are quicker sorts available.E - Heap Sort: While this does produce a consistent (Best, Worst and Average case are all the same) complexity of O(nlog(n)), it isn't stable so it doesn't fulfil condition 2.Merge Sort is the correct answer as:- It has a consistent time complexity of O(nlog(n))- It is a stable sortWhile it does have a high space complexity of O(n), we've been told this isn't an issue and that we should just use the most effective sort.
",
"What is the time complexity for the code below? Answer with a lower case letter with no other characters.for (int x=0; x<n; x++){ for (int y=0; y<n; y++){ total = numberArrayOne[x] * numberArrayTwo[y]; }}
","n^2
", , , , ,"It is n^2 as there are 2 for loops with a limit of n, one within the other. The pairs of x and y will be (1,1), (1,2), (1,3).....(1,n).....(n,1).....(n,n).
",
"Which of the following statements best describes an undirected graph?
", , ,"All edges are bi-directional, you can go either way along any edge
", , ,"In an undirected graph, all edges are bi-directional. You can go either way along any edge.
",
"Which statement(s) about heaps is false?
", , , ,"A heap is a binary search tree (BST).
", ,"A - false, a heap is one of the most efficient data structures for implementing a priority queue. (see page 5 inD&A-Lecture16-Trees4.pptx slides)B - false, aheap is a complete binary tree. (see page 6 in D&A-Lecture16-Trees4.pptx slides)C - false, there are two types of heaps: max-heaps and min-heaps. (see page 7 in D&A-Lecture16-Trees4.pptx slides)D - true: a heap is not a binary search tree, as for a given node, the right child may not be larger than the parent, and the left child may not be smaller than the parent.E - false, D is the only false statement.
",
"How many steps to find page 64 in a dictionary which has 100 pages start from page 1 using binary search?
", ,"6
", , , ,"1. (1+100)/2 = 50.5 = 51,2. 64 is not 51 and greater than 51 ----> reject 1 to 51.3. (52+100)/2 = 76,4. 64 is not 76 and smaller than 76 ----> reject 76 to 100.5. (52+75)/2 = 63.5 = 646. 64 is the correct page
",
"Flann O'Brien is an outlaw. He was attempting to hide out at point A, but realised that life there is too boring. He would like to return to point I as quick as possible. However all boats are being searched in case he's on board. With the exception of north Scotland, since the authorities are English and the Scottish referendum only happened 4 years ago... and well they're little scared to go up there.Given that Flann (if that is even his real name) wants to return as quick as possible, which route should he take?
","A,B,W,L,C,N,I
", , , , ,"A) You were right. Good for you.B) So close but not quite.. you can save time by going to W skipping out E. To get to L it would be 12 instead of 13. tbh if you got this wrong you should really work on your mental arithmetic. There's some pretty good apps.C) The least towns stopped in. However time is of the essence, and this takes 20 days :(D) W-S does not exist... return directly to go, and do not collect 200 Irish francsNone of the above: while this seems a credible answer, as the trip involves going to Scotland. The only alternative is attempting to swim, and no offence but you are doing Java, so the chances of you being able to swim to Ireland are a little slim.And 'no' dying is not better than going to Scotland. It's a lovely place. The people are very nice.. most of them are, but Flann is Irish so he will get on fine.
",
"State the complexity of the following algorithm:for(int i = 0; i < n; i++){ ListNode node = head; for (int j = 0; j < i - 1; j++){ node = node.next; } if(j > 3){ for(int k = 0; k < j; k++){ node.element += k; if(node.element >= 23){ break; } } }}node.next = new ListNode(o, node.next);
","?(n^2)
", , , , ,"While there are a lot of if and for loops, it basically is 2 for loops inside a third one, meaning it is n for the first loop, n for the second making it 2n for the inside loops, and n for the outside for loop, giving it a total of 2n^2. However, coefficients are ignored, so?(n^2).
",
"Which of the following sorting algorithms is Stable?
", , , ,"InsertionSort
", ,"D insertion sort is Stable
",
"In a Skiplist where p = 1/2 (i.e the probability that the node has 1 lane is 1/2 and the probability that the node has 2 lanes is 1/4 etc...) which has 1024 nodes. How many nodes should we expect to see that have exactly 6 lanes?
", ,"16
", , , ,"There are 1024 nodes. The probability of having 6 lanes is= .So the expected number of nodes with exactly 6 lanes is: 1024 * = 16.
",
"Which of the following show the structure of an AVL tree?
","
", , , , ,,"wp342 (wp342 - permission to this course revoked)
"
"What are the characteristics of a Binary Tree?
", ,"In a binary tree, every node has at most two children nodes.
", , , ,,"wp342 (wp342 - permission to this course revoked)
"
"Considering an implementation of a linked list with a head pointer and no tail pointer, which two of the following operations have a complexity of O(1) time?1. Insertion at the end of the list2. Insertion at the front of the list3. Deletion of the last node in the list4. Deletion of the First node in the list
", , , ,"2 and 4
", ,,"callumb212 (cb2077 - permission to this course revoked)
"
"Using a standard closed hash table with linear probing which has slots 0, ... ,7 and hash function h(x) = x % 8. What is the output of the hash table when the following numbers are inserted 14, 9, 26, 31, 2, 7, 11, 19?
", , ,"7, 9, 26, 2, 11, 19, 14, 31
", , ,,"am2541 (am2541 - permission to this course revoked)
"
"Given the two binary trees, what is the combined sum of node values of both diameters?
", , , , ," 38
",,
"What value does the following code for a binary search tree print?public void getElement(Tree root) { while(root.right() != null) { root = root.right(); } System.out.println(root.data());}
", ,"The largest element
", , , ,,"callumb212 (cb2077 - permission to this course revoked)
"
"When does a Insertion sort have (n)?
", , ,"Already or nearly ordered arrays.
", , ,,"am2541 (am2541 - permission to this course revoked)
"
"Old MacDonald has a farm (eieio), but his farm has been bought by McDonald's for his plump, juicy chickens.Old MacDonald now works for McDonald's under a contract where, at the end of every week, he has to send them his plumpest chicken. Furthermore, if Old MacDonald still has more than 63 chickens in his farm, he must keep sending the next plumpest chicken until he has 63.To perform his job more efficiently, McDonald's promoted ""Old MacDonald"" to ""New MacDonald"" by giving him a fancy new computer, and have told him to create a data structure to assist him in consistently finding the plumpest chicken.New MacDonald is however still very inexperienced with data structures and needs some advice. He was told by McDonald's that his data structure should have the following qualities:- Removing the plumpest chicken from the list should be easy and repeatable and is of the highest priority.- Updating the weight of existing chickens and reordering the structure accordingly should be possible.- Adding newborn chickens should be possible but isn't a priority (Most eggs are used for breakfast McMuffins anyway).Which data structure should New MacDonald use?
","A Heap
", , , , ,"The answer is A.B - An Open Hash Table: It would be difficult to create an good hash function for putting the plumpest chickens in a single cell, making the plumpest chickens hard to find. Updating weights would also be difficult.C - An AVL Tree: While removing the plumpest chickens would be easy enough (removing the right-most node), updating chicken weights would have to be done by removing them and re-inserting them with their new weight if the order is to be maintained properly. Another good point is that it would be easy to know when to there are more than 63 chickens (2^h - 1 = the max no. of nodes in a tree of height h and 63 = 2^6 - 1; this means that if the height of the tree is more than 6, there are more than 63 chickens).D - A Closed Hash Table: Similarly to B, creating a good hash function would for ordering chickens would be difficult, making it hard to find the plumpest chicken.E - A Linked List: Removing the plumpest chicken would be easy (remove the first or last item and change the head or tail respectively), but updating chicken weights would also have to be done by removing and re-inserting.A heap would be the best structure for New MacDonald as:- Removing the plumpest chicken is simple (you simply remove the root of the heap)- Updating chicken weights is intuitive (you can update weight and then sift up or down accordingly)- It's easy to know when there are more than 63 chickens (when the heap height is more than 6, as max no. of nodes is 2^h - 1 and 63 = 2^6 - 1
",
"Which of the following isnot a primitive data type in Java?
", , , ,"String
", ,"Java has 8 primitive data types:booleanbytecharshortintlongfloatdoubleString, however, is not a primitive data type.
",
"How would you convert a tree into a sorted list (smallest to biggest)
", ,"In order traversal
", , , ,,"io278 (io278 - permission to this course revoked)
"
"What part of a skip list makes its average runtime relatively quick?
", , , , ," Fast lanes
","The fast lanes of a skip list are used as checkpoints as they skip over elements and check if the element they next stop on is <= the element they are searching for. This means that it doesn't often have to search through all the n elements to find the one it is looking for.
",
"What is the main reason we prefer to use an adjacencyarray over an adjacencylist, in the case where our graph is dense?
", ,"The array is less complex than the list
", , , ,,"elliotstein1 (ers54 - permission to this course revoked)
"
"Which of the following facts about a Selection Sort of n items is not true?
", ,"The Selection Sort is of order (n).
", , , ,,"sah83 (sah83 - permission to this course revoked)
"
"Which of the following is the definition of an upper bound, g = O(f(n))?
", ,"g(n) =O(f(n)) iff there are constants c>0 and N>0 such that for all n>N,g(n) = c f(n)
", , , ,,"nadch20 (nadch20 - permission to this course revoked)
"
"Which of these is NOT a drawback of a closed hash table?
", ,"Can cause collisions between values
", , , ,,"nadch20 (nadch20 - permission to this course revoked)
"
"Which of the following is a correct expression for the sumcommonly encountered when evaluating time complexity?
", , ,"
", , ,"Add together..then divide by 2:
",
"Which nodes in the following binary tree have non-zero balance factor? 7 / \ 4 13 / \ \ 2 5 17 / \ \ / \ 1 3 6 15 20
", ,"5, 13
", , , ,"BalanceFactor(N) := Height(RightSubtree(N)) – Height(LeftSubtree(N))The node '5' has a balance factor of 1.The node '13' has a balance factor of 2.All other nodes have a balance factor of 0.
",
"What is the worst case time complexity for quick sort?
", ,"
", , , ,,"tokenguard (bb563 - permission to this course revoked)
"
"I have a data structure, filled with species of animals since the beginning of time. I am wanting to add these species in the order of their first discovery date. Any new species encountered will therefore be added to the front. I have no need to retrieve any animal once it is in my data structure. When an animal is extinct, I want to remove it from my data structure.Which of the following statements is notcorrect for why I should use a Linked List as the Data Structure for storing the animals, rather than an array?
","Linked Lists in general are much easier to implement than arrays.
", , , , ,,"sah83 (sah83 - permission to this course revoked)
"
